,code,title,time,sdate,grade,audience,summary,thumb
50,172458,첫키스만 50번째,114,2,12세 관람가,2195,,https://movie-phinf.pstatic.net/20200319_221/1584607674344eBoeS_JPEG/movie_image.jpg?type=m99_141_2
51,31565,브리짓 존스의 일기,97,2,청소년 관람불가,1409,,https://movie-phinf.pstatic.net/20111216_25/1324029438334jIoaL_JPEG/movie_image.jpg?type=m99_141_2
52,92075,어바웃 타임,123,2,15세 관람가,3439412,,https://movie-phinf.pstatic.net/20131115_243/1384498185621awKv1_JPEG/movie_image.jpg?type=m99_141_2
53,51777,월드워Z,115,2,15세 관람가,5244042,,https://movie-phinf.pstatic.net/20130604_66/1370315619093FMUhL_JPEG/movie_image.jpg?type=m99_141_2
54,172117,문호 스트레이독스 [데드애플],91,2,12세 관람가,29706,"요코하마 뒷사회에 피바람이 몰아친
용두항쟁으로부터 6년 후 -",https://movie-phinf.pstatic.net/20180321_30/1521618151401isbOi_JPEG/movie_image.jpg?type=m99_141_2
55,158578,흑집사 : 북 오브 더 아틀란틱,100,2,15세 관람가,38269,,https://movie-phinf.pstatic.net/20170407_153/1491527295172laUdr_JPEG/movie_image.jpg?type=m99_141_2
56,193209,펠리칸 베이커리,80,2,전체 관람가,562,,https://movie-phinf.pstatic.net/20200326_197/1585210508393NwqfR_JPEG/movie_image.jpg?type=m99_141_2
57,185450,우리집,92,2,전체 관람가,56159,“우리집은 진짜 왜 이럴까?”,https://movie-phinf.pstatic.net/20190807_51/1565154456350b19B1_JPEG/movie_image.jpg?type=m99_141_2
58,36651,시티 오브 갓,129,2,청소년 관람불가,7213,신이 버린 도시,https://movie-phinf.pstatic.net/20111222_68/1324527669788wvUpu_JPEG/movie_image.jpg?type=m99_141_2
59,190026,숀더쉽 더 무비: 꼬마 외계인 룰라!,87,2,전체 관람가,11417,사고뭉치 양떼들과 우주미아 꼬마 외계인의 컴백홈 대작전!,https://movie-phinf.pstatic.net/20200219_23/1582077476942c1IGT_JPEG/movie_image.jpg?type=m99_141_2
60,189139,리암 갤러거,85,2,15세 관람가,2863,"""나답게 사는 게 로큰롤이야""",https://movie-phinf.pstatic.net/20200218_46/1581990644611V7eNU_JPEG/movie_image.jpg?type=m99_141_2
61,170427,주문은 토끼입니까?? ~디어 마이 시스터~,61,2,전체 관람가,17577,,https://movie-phinf.pstatic.net/20171227_254/1514359126082YL9em_JPEG/movie_image.jpg?type=m99_141_2
62,190325,극장판 미니특공대: 공룡왕 디노,73,2,전체 관람가,79475,,https://movie-phinf.pstatic.net/20200115_201/1579055961204pU2PH_JPEG/movie_image.jpg?type=m99_141_2
